configuration,model,question_index,f1_score_1,f1_score_2,f1_score_3,f1_score_4,f1_score_5,f1_score_6
Multi-Agent Supervisor,gpt-4o-petrobras,27b,0.5714285714285714,0.5,0.4545454545454545,,,
Multi-Agent Supervisor,gpt-4o-petrobras,28,0.8750000000000001,0.8750000000000001,0.8666666666666666,0.7826086956521738,,
Multi-Agent Supervisor,gpt-4o-petrobras,29c,0.6956521739130435,0.56,0.5294117647058824,0.5185185185185186,0.5161290322580646,
Multi-Agent Supervisor,gpt-4o-petrobras,29d,0.608695652173913,0.608695652173913,0.5454545454545454,0.5,0.5,
Multi-Agent Supervisor,gpt-4o-petrobras,3,0.4545454545454546,0.4444444444444445,0.3157894736842105,,,
Multi-Agent Supervisor,gpt-4o-petrobras,30a,1.0,1.0,1.0,,,
Multi-Agent Supervisor,gpt-4o-petrobras,30b,1.0,1.0,1.0,,,
Multi-Agent Supervisor,gpt-4o-petrobras,31a,0.0,0.0,0.0,,,
Multi-Agent Supervisor,gpt-4o-petrobras,31b,0.5,0.0,0.0,,,
Multi-Agent Supervisor,gpt-4o-petrobras,32d,0.7999999999999999,0.75,0.631578947368421,,,
Multi-Agent Supervisor,gpt-4o-petrobras,33a,0.2857142857142857,0.26666666666666666,0.1818181818181818,,,
Multi-Agent Supervisor,gpt-4o-petrobras,33b,0.4000000000000001,0.28571428571428575,0.22222222222222224,,,
Multi-Agent Supervisor,gpt-4o-petrobras,35b,0.9411764705882353,0.9333333333333333,0.75,,,
Single-Agent,gpt-4o-mini-petrobras,1,0.5714285714285715,0.5454545454545454,0.3333333333333333,0.26086956521739124,,
Single-Agent,gpt-4o-mini-petrobras,14e,0.7058823529411765,0.6153846153846153,0.5333333333333333,0.5,,
Single-Agent,gpt-4o-mini-petrobras,14f,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,,
Single-Agent,gpt-4o-mini-petrobras,15,0.5,0.5,0.5,0.5,,
Single-Agent,gpt-4o-mini-petrobras,16,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.6666666666666665,,
Single-Agent,gpt-4o-mini-petrobras,17,0.7058823529411765,0.631578947368421,0.6250000000000001,0.5333333333333333,0.5263157894736842,
Single-Agent,gpt-4o-mini-petrobras,18,0.6153846153846153,0.5333333333333333,0.5,0.5,,
Single-Agent,gpt-4o-mini-petrobras,19a,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.4444444444444445,,
Single-Agent,gpt-4o-mini-petrobras,19b,0.4,0.38095238095238093,0.3478260869565218,0.3478260869565218,,
Single-Agent,gpt-4o-mini-petrobras,2,0.3333333333333333,0.3333333333333333,0.20000000000000004,0.1818181818181818,,
Single-Agent,gpt-4o-mini-petrobras,27a,0.5454545454545455,0.4210526315789474,0.38095238095238093,0.33333333333333337,,
Single-Agent,gpt-4o-mini-petrobras,27b,0.3529411764705882,0.33333333333333337,0.3,0.22222222222222224,,
Single-Agent,gpt-4o-mini-petrobras,28,0.7692307692307692,0.7692307692307692,0.7647058823529412,0.6111111111111112,0.6111111111111112,0.5405405405405405
Single-Agent,gpt-4o-mini-petrobras,29c,0.6206896551724139,0.5806451612903226,0.5806451612903225,0.5294117647058824,0.5,0.48000000000000004
Single-Agent,gpt-4o-mini-petrobras,29d,0.5833333333333334,0.5217391304347826,0.4545454545454546,0.4444444444444444,0.37499999999999994,0.3529411764705882
Single-Agent,gpt-4o-mini-petrobras,3,0.30769230769230765,0.3,0.25,0.2222222222222222,,
Single-Agent,gpt-4o-mini-petrobras,30a,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,
Single-Agent,gpt-4o-mini-petrobras,30b,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,
Single-Agent,gpt-4o-mini-petrobras,31a,1.0,1.0,1.0,0.6666666666666666,,
Single-Agent,gpt-4o-mini-petrobras,31b,1.0,1.0,1.0,1.0,,
Single-Agent,gpt-4o-mini-petrobras,32d,0.47058823529411764,0.47058823529411764,0.47058823529411764,,,
Single-Agent,gpt-4o-mini-petrobras,33a,0.5333333333333333,0.30769230769230765,0.0,0.0,,
Single-Agent,gpt-4o-mini-petrobras,33b,0.5,0.4,0.36363636363636365,0.0,,
Single-Agent,gpt-4o-mini-petrobras,35b,0.3076923076923077,0.16666666666666666,0.0,0.0,,
Single-Agent,gpt-4o-petrobras,1,0.5263157894736842,0.42857142857142855,0.42857142857142855,,,
Single-Agent,gpt-4o-petrobras,14e,0.75,0.6666666666666666,0.4615384615384615,,,
Single-Agent,gpt-4o-petrobras,14f,0.6,0.6,0.5454545454545454,,,
Single-Agent,gpt-4o-petrobras,15,0.4000000000000001,0.375,0.36363636363636365,,,
Single-Agent,gpt-4o-petrobras,16,0.6,0.36363636363636365,0.36363636363636365,,,
Single-Agent,gpt-4o-petrobras,17,0.4444444444444444,0.4444444444444444,0.4444444444444444,,,
Single-Agent,gpt-4o-petrobras,18,0.6666666666666666,0.5454545454545454,0.4,,,
Single-Agent,gpt-4o-petrobras,19a,0.4615384615384615,0.43478260869565216,0.34782608695652173,,,
Single-Agent,gpt-4o-petrobras,19b,0.4347826086956522,0.38095238095238093,0.36363636363636365,,,
Single-Agent,gpt-4o-petrobras,2,0.4615384615384615,0.4615384615384615,0.3333333333333333,,,
Single-Agent,gpt-4o-petrobras,27a,0.6666666666666666,0.6666666666666666,0.6363636363636364,,,
Single-Agent,gpt-4o-petrobras,27b,0.5454545454545455,0.5,0.4,,,
Single-Agent,gpt-4o-petrobras,28,1.0,0.962962962962963,0.9473684210526316,0.8571428571428571,0.8275862068965517,
Single-Agent,gpt-4o-petrobras,29c,0.7272727272727272,0.6956521739130435,0.625,0.5294117647058824,0.5,
Single-Agent,gpt-4o-petrobras,29d,0.608695652173913,0.608695652173913,0.5833333333333334,0.5263157894736842,0.375,
Single-Agent,gpt-4o-petrobras,3,0.42857142857142855,0.4,0.2857142857142857,,,
Single-Agent,gpt-4o-petrobras,30a,1.0,1.0,1.0,,,
Single-Agent,gpt-4o-petrobras,30b,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,
Single-Agent,gpt-4o-petrobras,31a,1.0,1.0,0.0,,,
Single-Agent,gpt-4o-petrobras,31b,1.0,0.0,0.0,,,
Single-Agent,gpt-4o-petrobras,32d,0.5,0.4615384615384615,0.41379310344827586,,,
Single-Agent,gpt-4o-petrobras,33a,0.5714285714285715,0.5,0.375,,,
Single-Agent,gpt-4o-petrobras,33b,0.3636363636363636,0.2,0.15384615384615383,,,
Single-Agent,gpt-4o-petrobras,35b,1.0,0.8571428571428571,0.8,,,
